CCODE,ISO -3 ,Countries\Indicators,Status,EVI,a,Exposure index,b,Population,,c,Remoteness,,,d,Share of population in low elevated coastal zones ,,e,Economic structure index,f,Export concentration,,g,"Shares of agriculture, forestry and fisheries",,h,Shock index,i,Natural Shock index,j,Victims of natural disasters (%),,k,Agricultural instability,,l,Export instability,,m,HAI,n,Health index,o,Prevalence of undernourishment  in total population (%),,p,Under 5 mortality (per 1000),,q,"Maternal mortality (per 100,000 live birth)",,r,Education index,s,Literacy rate,,t,Gross secondary enrolment ratio,,u,GNI per capita ($),v
,,,,,,,,Value,Max-min,,Avg. distance,Adj. value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,,
4,AFG,Afghanistan,LDC,39.3,,25.2,,"34,656,032",16.3,,4057.72,51.690,52.1,,0.00,0.0,,32.5,,0.32,26.2,,23.9,38.8,,53.4,,54.4,,1.687,76.6,,7.45,32.1,,20.74,52.5,,48.4,,66.9,,23.0,70.0,,70.4,63.4,,396,67.3,,29.9,,31.7,9.0,t1,55.6,50.7,,633,
12,DZA,Algeria,,14.7,,12.0,,"40,606,052",13.9,,2325.02,7.809,0.0,,0.76,2.2,,31.9,,0.49,45.4,,11.8,18.4,,17.3,,34.7,,0.071,34.9,,7.88,34.5,,4.15,0.0,,88.3,,93.2,,4.6,100.0,,25.2,90.8,,140,88.7,,83.3,,75.1,66.8,t26,99.9,99.8,u1,"4,902",
24,AGO,Angola,LDC,36.8,,35.2,,"28,813,463",19.1,,6335.08,59.793,62.2,,1.44,4.1,,55.4,,0.93,97.9,,8.6,12.9,,38.3,,50.6,,0.676,64.5,,8.27,36.6,,12.80,26.0,,52.5,,67.2,,14.0,85.0,,82.5,56.1,,477,60.5,,37.9,,66.0,54.7,,28.9,21.0,u1,"4,477",
28,ATG,Antigua and Barbuda,,38.6,,53.1,,"100,963",100.0,,5320.91,50.746,50.9,,11.83,33.8,,27.6,,0.56,53.9,,1.8,1.4,,24.0,,47.9,,2.150,79.8,,4.46,16.0,,5.05,0.2,,92.9,,86.4,,26.7,63.8,,8.5,100.0,,59,95.5,r1,99.3,,99.0,98.6,t2,102.7,100.0,,"12,903",
32,ARG,Argentina,,24.3,,30.1,,"43,847,430",12.7,,9484.87,80.724,88.4,,3.03,8.7,,10.7,,0.19,10.9,,7.2,10.5,,18.6,,35.4,,0.222,49.9,,5.37,20.9,,5.52,1.7,,98.6,,98.5,,3.6,100.0,,11.1,99.3,,52,96.0,,98.7,,98.1,97.5,t23,106.8,100.0,,"13,157",
51,ARM,Armenia,,31.2,,27.3,,"2,924,816",54.3,,2929.50,34.794,31.0,,0.00,0.0,,23.9,,0.25,17.7,,18.7,30.0,,35.1,,45.5,,0.652,64.1,,6.49,27.0,,12.43,24.8,,96.1,,98.7,,4.4,100.0,,13.4,97.9,,25,98.3,,93.4,,99.7,99.7,t1,88.5,87.2,,"3,988",
31,AZE,Azerbaijan,,31.2,,29.3,,"9,725,376",35.8,,3190.68,39.224,36.5,,0.00,0.0,,44.7,,0.79,80.8,,6.1,8.7,,33.2,,38.6,,0.566,62.2,,4.28,15.0,,13.33,27.8,,97.5,,95.2,,2.5,100.0,p1,30.9,87.3,,25,98.3,,99.9,,99.8,99.7,,100.3,100.0,u4,"6,447",
44,BHS,Bahamas,,39.1,,54.5,,"391,232",85.3,,5275.14,50.298,50.4,,20.28,58.0,,24.3,,0.51,48.6,,0.9,0.0,,23.8,,47.6,,0.545,61.7,,7.70,33.5,,4.08,0.0,,94.0,,95.0,,10.0,91.7,,10.6,99.6,,80,93.7,,93.0,,95.6,94.1,t3,92.6,91.8,u15,"29,563",
48,BHR,Bahrain,,34.9,,52.3,,"1,425,171",65.4,,3949.64,35.290,31.6,,34.28,97.9,,14.1,,0.34,28.2,,0.3,0.0,,17.5,,28.7,,0.000,0.0,,12.10,57.3,,6.93,6.4,,98.0,,99.7,,5.0,100.0,"p2, p3",7.6,100.0,,15,99.1,,96.4,,94.6,92.7,t24,102.1,100.0,,"22,779",
