Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Afghanistan,AFG,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,31.30025565,31.30025565,33.09343068,34.88660571,36.67978074,38.47295577,40.26613081,42.05930584,43.85248087,45.6456559,47.43883093,49.23200596,51.02518099,52.81835602,54.61153105,56.40470608
Angola,AGO,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,47.5144549,48.50334872,49.49224253,50.48113635,51.47003017,52.45892399,53.4478178,54.43671162,55.42560544,56.41449926,57.40339308,58.39228689,59.38118071,60.37007453,61.35896835,62.34786216
Albania,ALB,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,97.00085429,97.09843367,97.19601306,97.29359245,97.39117183,97.48875122,97.5863306,97.68390999,97.78148937,97.87906876,97.97664814,98.07422753,98.17180692,98.20862743,98.28801438,98.28801438
Andorra,AND,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Arab World,ARB,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,86.70450544,86.67610425,86.64887947,86.63272149,86.62715317,86.75219301,86.89783553,87.17526078,87.30479664,87.41604692,87.50056043,87.54506152,87.61515579,87.67141117,87.7046844,87.73698119
United Arab Emirates,ARE,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925,99.98150925
Argentina,ARG,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,94.54072016,94.58798402,94.63524789,94.68251175,94.72977561,94.77703948,94.82430334,94.8715672,94.91883107,94.95024163,94.95093926,94.95163621,94.95233248,94.95302806,94.95372297,94.95441719
Armenia,ARM,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,95.1732753,95.2601739,95.3470725,95.4339711,95.52086971,95.60776831,95.69466691,95.78156551,95.86846412,95.95536272,96.04226132,96.12915992,96.21605853,96.30295713,96.38985573,96.47675433
American Samoa,ASM,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Australia,AUS,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Austria,AUT,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,100,100,100,99.99726884,99.99413307,99.9909973,99.98786152,99.98472575,99.98158997,99.9784542,99.97531843,99.97218265,99.96904688,99.96591111,99.96277533,99.95963956
Azerbaijan,AZE,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,77.03137536,78.01008849,78.98880162,79.96751474,80.94622787,81.924941,82.90365412,83.88236725,84.86108038,85.83979351,86.81850663,87.79721976,88.77593289,89.75464601,90.73335914,91.59543443
